timestamp,what_is_your_age?,what_is_your_gender?,what_is_your_current_year_of_study?,what_is_your_major_or_field_of_study?,what_is_your_current_gpa_or_average_grade?,how_many_hours_do_you_study_per_week?,how_many_assignments_or_deadlines_do_you_have_each_week?,how_often_do_you_attend_classes?,how_much_academic_pressure_do_you_feel?,how_would_you_rate_your_level_of_social_support?,what_is_your_current_living_situation?,do_you_have_a_part_time_job?,do_you_participate_in_extracurricular_activities?,how_would_you_rate_your_sleep_quality?,how_many_hours_of_sleep_do_you_get_per_night?,how_often_do_you_engage_in_physical_activity?,how_would_you_rate_the_quality_of_your_diet?,how_many_hours_do_you_spend_on_screens_phone_computer_tv_per_day?,how_would_you_rate_your_anxiety_levels?,how_would_you_rate_your_depression_symptoms?,what_coping_mechanisms_do_you_use?,how_would_you_rate_your_current_stress_level?
06-10-2024 08:44,18,Female,4,Law,7,21,0,Never,1,4,On-Campus,Yes,No,2,7,Sometimes,3,7,2,1,Exercise,1
06-10-2024 08:44,19,Female,1,Robotics and Automation,6,38,8,Rarely,5,1,Off-Campus,No,Yes,4,5,Daily,2,7,4,5,Sleeping,3
06-10-2024 08:44,19,Male,2,Civil Engineering,8,5,6,Rarely,3,5,Off-Campus,Yes,No,3,8,Frequently,4,1,5,4,Exercise,0
06-10-2024 08:44,18,Male,4,BBA General,7,23,2,Never,5,2,With Family,Yes,Yes,5,6,Sometimes,4,1,3,5,Listening to Music,2
06-10-2024 08:44,23,Female,5,Core Engineering,4,56,11,Never,2,1,With Family,Yes,Yes,1,2,Never,1,9,2,5,Playing Games,5
06-10-2024 08:44,22,Female,3,Core Engineering,8,23,8,Sometimes,4,4,With Family,Yes,Yes,1,6,Sometimes,4,5,3,2,Exercise,1
06-10-2024 08:44,19,Male,4,Robotics and Automation,8,5,6,Sometimes,4,3,Off-Campus,No,No,1,8,Rarely,3,7,4,2,Playing Games,0
06-10-2024 08:44,22,Male,2,Electronics and Communication,9,14,13,Never,1,2,With Family,Yes,No,2,8,Never,4,9,5,4,Aggression - punching bag,0
06-10-2024 08:44,22,Male,4,Electronics and Communication,8,14,7,Always,4,3,Off-Campus,Yes,Yes,2,7,Never,5,0,4,3,Playing Games,1
06-10-2024 08:44,23,Male,2,Civil Engineering,9,10,9,Always,1,5,On-Campus,Yes,No,5,8,Frequently,2,3,4,3,Sleeping,0
06-10-2024 08:44,21,Male,2,Robotics and Automation,3,49,3,Rarely,1,4,With Family,No,Yes,5,3,Daily,5,4,5,1,Playing Games,5
06-10-2024 08:44,22,Female,2,BBA General,6,27,9,Rarely,1,2,Off-Campus,No,No,4,6,Sometimes,3,2,2,4,Listening to Music,2
06-10-2024 08:44,24,Male,4,Robotics and Automation,8,9,8,Frequently,5,1,With Family,No,Yes,2,8,Daily,2,7,2,5,Playing Games,0
06-10-2024 08:44,29,Male,5,Law,9,14,1,Always,4,4,With Family,Yes,Yes,3,7,Frequently,5,5,1,4,Sleeping,0
06-10-2024 08:44,26,Male,3,Core Engineering,7,26,11,Always,3,2,With Family,Yes,Yes,3,6,Rarely,5,1,3,2,Listening to Music,3
06-10-2024 08:44,30,Female,1,Civil Engineering,7,28,10,Sometimes,1,5,With Family,No,No,2,7,Never,4,4,1,4,Aggression - punching bag,2
06-10-2024 08:44,30,Female,3,Robotics and Automation,8,18,5,Sometimes,3,4,Off-Campus,Yes,Yes,5,7,Rarely,3,3,5,3,Exercise,2
06-10-2024 08:44,28,Female,3,BBA General,4,47,6,Never,2,4,With Family,Yes,No,1,2,Daily,2,2,2,4,Playing Games,5
06-10-2024 08:44,24,Male,3,Robotics and Automation,9,8,9,Sometimes,4,2,With Family,Yes,No,5,7,Sometimes,1,3,2,5,Aggression - punching bag,0
06-10-2024 08:44,18,Female,3,Law,8,6,4,Rarely,2,2,With Family,Yes,Yes,2,8,Rarely,1,2,1,3,Playing Games,0
06-10-2024 08:44,18,Female,1,Robotics and Automation,8,10,10,Frequently,2,5,With Family,Yes,Yes,1,8,Rarely,4,2,5,4,Aggression - punching bag,0
06-10-2024 08:44,19,Female,3,BBA General,5,53,4,Always,5,3,With Family,Yes,Yes,2,3,Daily,4,6,1,4,Sleeping,5
06-10-2024 08:44,26,Female,2,Law,6,36,7,Sometimes,4,1,Off-Campus,Yes,Yes,5,6,Rarely,1,8,2,2,Listening to Music,3
06-10-2024 08:44,22,Male,5,Civil Engineering,8,29,3,Never,1,3,Off-Campus,Yes,Yes,5,5,Sometimes,3,3,4,1,Exercise,2
06-10-2024 08:44,25,Male,5,BBA General,5,50,1,Frequently,5,4,With Family,Yes,Yes,1,3,Frequently,1,5,1,1,Playing Games,5
